2025-06-28 06:04:21,508 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-28 06:04:21,509 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250628
2025-06-28 06:10:42,583 [INFO] fetch_kline.py:363 全部任务完成，数据已保存至 /home/runner/work/StockTradebyZST/StockTradebyZST/data
2025-06-28 06:27:06,609 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-28 06:27:06,614 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250628
2025-06-28 06:31:45,635 [INFO] fetch_kline.py:363 全部任务完成，数据已保存至 /home/runner/work/StockTradebyZST/StockTradebyZST/data
2025-06-28 08:17:49,858 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-28 08:17:49,863 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250628
2025-06-28 08:23:39,440 [INFO] fetch_kline.py:363 全部任务完成，数据已保存至 /home/runner/work/StockTradebyZST/StockTradebyZST/data
2025-06-29 08:17:20,358 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-29 08:17:20,363 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250629
2025-06-29 08:18:27,005 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:27,010 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:27,335 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:27,441 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:27,906 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:29,336 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:29,420 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:29,760 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:30,342 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:30,453 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:33,089 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:34,302 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:34,618 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:34,641 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:35,014 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:37,384 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:38,705 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:39,094 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:39,668 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:39,749 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:41,075 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:41,205 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:41,233 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:42,303 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:43,702 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:44,320 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:44,573 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:44,723 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:45,866 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:47,435 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:49,059 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:50,206 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:50,740 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:51,173 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:51,695 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:52,448 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:52,463 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:52,589 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:54,082 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:54,408 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:54,998 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:55,687 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:56,111 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:58,382 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:59,129 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:59,365 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:59,850 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:18:59,908 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:01,247 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:02,043 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:02,167 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:04,989 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:05,522 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:05,596 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:05,868 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:06,233 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:07,823 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:08,167 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:09,765 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:10,936 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:10,986 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:11,595 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:11,788 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:12,431 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:14,019 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:15,126 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:16,108 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:16,777 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:16,937 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:17,957 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:18,009 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:18,691 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:19,334 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:21,450 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:21,502 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:22,758 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:23,535 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:23,676 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:23,786 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:25,263 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:26,317 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:27,200 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:27,670 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:28,118 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:29,282 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:29,698 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:29,738 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:19:30,558 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
